,cluster_score,CPI_v3,CPI_technique,proxy_label
362,52.3797042871784,53.6,62.8,-1
363,62.07313030215052,58.7,63.4,-1
364,60.57857723025559,56.6,60.4,-1
365,50.14637581411736,50.1,57.0,-1
366,53.69821330978893,25.0,26.4,0
367,,59.7,58.2,-1
368,61.315945932363846,55.8,58.7,-1
369,64.71244755053964,63.6,67.5,1
370,36.11737039081378,25.0,31.5,0
371,30.391164630450675,25.0,29.8,0
372,44.83056166381226,25.0,26.6,0
373,63.86554972271368,62.0,66.2,1
374,61.88414357463304,59.6,64.4,1
375,,61.1,65.7,-1
376,64.08716467312188,63.2,67.5,1
377,61.87692271001075,61.4,66.9,1
378,62.302389861747166,62.0,67.4,1
379,61.57704831813482,60.3,65.6,1
380,62.15776697450981,58.9,63.4,-1
381,65.77800527762977,62.7,65.4,1
382,66.3581097405131,62.0,64.8,1
383,69.10875576088144,25.0,23.4,0
384,72.25497204739213,25.0,23.7,0
385,54.587265988786825,25.0,24.6,0
386,54.80636522597061,25.0,23.7,0
387,42.93375468328055,25.0,28.9,0
388,58.42908564947076,54.7,59.2,-1
389,48.4839949939424,25.0,28.0,0
390,54.412313897618006,25.0,25.4,0
391,62.807597102646206,58.6,62.5,-1
392,66.29798939360714,61.6,64.4,1
393,67.1220212728164,63.8,66.4,1
394,61.09471688640511,57.7,62.4,1
395,58.56132526641872,58.3,65.1,1
396,63.42677327723294,61.4,65.8,1
397,62.16289566407303,58.6,63.1,-1
398,49.478314065775585,25.0,27.5,0
399,58.8875537639514,59.9,66.9,1
400,61.91307214646279,59.8,64.8,1
401,62.26850879762337,40.0,43.2,1
402,60.85981112153043,40.0,42.9,-1
403,61.698588114402966,56.6,59.5,-1
404,62.4546314412461,59.9,64.4,-1
405,55.92843530826098,25.0,21.3,0
406,58.21926889249234,58.6,66.1,1
407,53.069801806665275,52.2,60.6,-1
408,58.35079850688317,40.0,44.9,1
409,60.32705840824262,60.5,66.6,1
410,63.49323782218504,59.8,63.9,-1
411,,57.5,58.5,-1
412,60.03053920073531,58.6,64.6,1
413,61.56091354675024,59.8,64.9,1
414,,61.5,66.9,1
415,,61.8,65.8,1
416,73.09670355756214,63.0,64.1,1
417,62.16173330807819,59.8,64.6,1
418,71.12952592048617,63.2,64.6,-1
419,58.114892220387105,57.0,62.6,-1
420,60.22339124435941,60.4,66.7,1
421,64.6983466084263,61.1,64.8,-1
422,63.6152094796546,59.2,62.7,-1
423,61.65183904947389,60.6,65.9,1
424,62.34727758226835,61.8,67.0,1
425,64.65571490102265,62.8,66.7,1
426,59.33461733734764,58.9,64.9,-1
427,62.922082238910534,62.0,66.8,1
428,64.60962193376778,62.9,66.8,1
429,66.32302260787766,61.9,64.8,1
430,62.3113190650727,61.8,67.1,1
431,63.82895175247143,61.5,65.8,1
432,68.2531885833308,63.4,65.6,1
433,71.55834106480827,64.1,65.5,1
434,62.190722657728244,58.2,62.6,1
435,61.69354971466354,61.4,67.0,1
436,58.63369809097395,56.8,63.2,-1
437,60.61934687922938,59.1,64.5,-1
438,64.3349279059977,59.5,62.7,-1
439,62.09720301040238,61.4,66.7,1
440,56.783732416670304,57.4,65.0,-1
441,72.56831175728176,65.0,66.8,1
442,58.30117152674488,58.3,64.6,-1
443,60.98745683971287,61.4,67.5,1
444,60.85046068044782,60.6,66.6,1
445,66.65242754082074,63.0,65.9,1
446,60.63847748634357,59.1,64.7,1
447,58.22991884248785,59.2,66.7,1
448,58.811633550516454,59.6,66.7,1
449,62.762842951686245,61.4,66.3,1
450,66.18431939592972,63.2,65.8,1
451,,60.6,67.4,-1
452,59.154551942705005,58.6,64.9,1
453,62.89202240394967,60.9,65.3,-1
454,61.8503173076287,60.9,66.3,1
455,60.665586244610715,59.4,64.9,-1
456,66.33430143476163,63.0,66.0,1
457,62.854032435817885,60.4,64.8,-1
458,60.372709598110376,60.8,67.1,1
459,73.36168226906788,64.6,65.7,1
460,64.89694974224356,63.0,66.9,1
