id_parcelle,shap_slope_p50,shap_slope_p90,shap_slope_std,shap_twi_mean,shap_has_thalweg_mean,shap_profile_curvature_mean,shap_tri_mean,shap_hillshade_winter_mean,shap_aspect_south_ratio_mean,shap_svf_mean,CPI_ML_v6,CPI_v6,CPI_technique,zone_plu,compactness_ratio,elongation_ratio,shape_warning,ces_existant,ces_residuel,emprise_residuelle_m2,ces_warning,cluster_score,brgm_argiles_flag,brgm_mvt_terrain_flag,shap_groupe_SLOPE,shap_groupe_HYDROLOGY,shap_groupe_MORPHOLOGY,shap_groupe_SUNLIGHT,cpi_ml_ci_low,cpi_ml_ci_high,cpi_ml_std
73065000BY0288,0.0020721056,-1.1210732,-0.392892,0.0,0.0,-0.0052498584,-0.27259922,-0.009404767,0.0,0.0,0.5,25.0,28.5,inconnu,0.633803479136603,1.8066639731878256,,0.0,0.4,24.23978042012964,Emprise residuelle < 80m2 - constructibilite tres limitee,49.48458132434895,,,-1.5118932,0.0,-0.27784908,-0.009404767,0.0,0.0766926035284996,0.02818162366747856
73065000BY0171,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,63.0,64.4,inconnu,0.2085239259070324,1.095837971570698,,0.0,0.4,327.6656557981387,,71.70858623185983,,,1.5524521,0.0,0.2468078,-0.0020383701,99.99015045166016,100.0,0.0023408946581184864
73065000BY0217,-0.0013386579,-1.1277958,-0.38818347,0.0,0.0,-0.0052498584,-0.27096808,-0.005611046,0.0,0.0,0.5,25.0,24.1,inconnu,0.0983948471780716,2.500945297026265,Parcelle allongee - emprise reelle limitee,0.0,0.4,213.3448286711213,,73.18982731109635,,,-1.5173179,0.0,-0.27621794,-0.005611046,0.0,0.0753481537103653,0.0212780199944973
73065000BY0018,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,60.2,66.6,inconnu,0.7401647527989171,1.32760113177582,,0.0,0.4,92.43109541086524,,60.29464641001873,,,1.5524521,0.0,0.2468078,-0.0020383701,99.986572265625,100.0,0.00442472193390131
73065000BY0019,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,64.2,67.4,inconnu,0.7592721461736353,1.3209878660692589,,0.0,0.4,259.51412310880954,,66.20978596742574,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0071,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,61.2,67.4,inconnu,0.6299396068976736,1.171667757468938,,0.0,0.4,135.1719269849246,,60.58162743900013,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0009481428423896432
73065000BY0113,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,61.4,64.6,inconnu,0.4831213810814197,1.3368005441217168,,0.0,0.4,116.4055552218233,,65.51950286091233,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0244,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.2,64.1,inconnu,0.2464743854033148,3.963739362166066,Parcelle allongee - emprise reelle limitee,0.0,0.4,84.30635707792224,,67.94005568589051,,,1.5524521,0.0,0.2468078,-0.0020383701,99.99030303955078,100.0,0.00205919798463583
73065000BY0257,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,60.4,66.6,inconnu,0.6636682696271236,1.6755998777427048,,0.0,0.4,785.3199854511438,,60.51285028554712,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0319,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.9,64.7,inconnu,0.1139638654857564,4.496645711433823,Parcelle allongee - emprise reelle limitee,0.0,0.4,310.6304836427622,,68.26109868426884,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
